product_id,product_name,discounted_price,actual_price,discount_percentage,rating,rating_count
B07JW9H4J1,Wayona,399,1099,64,4.2,24269.0
B098NS6PVG,Ambrane,199,349,43,4.0,43994.0
B096MSW6CT,Sounce,199,1899,90,3.9,7928.0
B08HDJ86NZ,boAt,329,699,53,4.2,94363.0
B08CF3B7N1,Portronics,154,399,61,4.2,16905.0
B08Y1TFSP6,pTron,149,1000,85,3.9,24871.0
B08WRWPM22,boAt,176.63,499,65,4.1,15188.0
B08DDRGWTJ,MI,229,299,23,4.3,30411.0
B008IFXQFU,TP-Link,499,999,50,4.2,179691.0
B082LZGK39,Ambrane,199,299,33,4.0,43994.0
B08CF3D7QR,Portronics,154,339,55,4.3,13391.0
B0789LZTCJ,boAt,299,799,63,4.2,94363.0
B07KSMBL2H,AmazonBasics,219,700,69,4.4,426973.0
B085DTN6R2,Portronics,350,899,61,4.2,2262.0
B09KLVMZ3B,Portronics,159,399,60,4.1,4768.0
B083342NKJ,MI,349,399,13,4.4,18757.0
B0B6F7LX4C,MI,13999,24999,44,4.2,32840.0
B082LSVT4B,Ambrane,249,399,38,4.0,43994.0
B08WRBG3XW,boAt,199,499,60,4.1,13045.0
B08DPLCM6T,LG,13490,21990,39,4.3,11976.0
B09C6HXFC1,Duracell,970,1799,46,4.5,815.0
B085194JFL,tizum,279,499,44,3.7,10962.0
B09F6S8BT6,Samsung,13490,22900,41,4.3,16299.0
B09NHVCHS9,Flix,59,199,70,4.0,9378.0
B0B1YVCJ2Y,Acer,11499,19990,42,4.3,4703.0
B01M4GGIVU,Tizum,199,699,72,4.2,12153.0
B08B42LWKN,OnePlus,14999,19999,25,4.2,34899.0
B094JNXNPV,Ambrane,299,399,25,4.0,2766.0
B09W5XR9RT,Duracell,970,1999,51,4.4,184.0
B077Z65HSD,boAt,299,999,70,4.3,20850.0
B00NH11PEY,AmazonBasics,199,750,73,4.5,74976.0
B09CMM3VGK,Ambrane,179,499,64,4.0,1934.0
B08QSC1XY8,Zoul,389,1099,65,4.3,974.0
B008FWZGSG,Samsung,599,599,0,4.3,355.0
B0B4HJNPV4,pTron,199,999,80,3.9,1075.0
B08Y1SJVV5,pTron,99,666.66,85,3.9,24871.0
B07XLCFSSN,Amazonbasics,899,1900,53,4.4,13552.0
B09RZS1NQT,Sounce,199,999,80,4.0,576.0
B0B3MMYHYW,OnePlus,32999,45999,28,4.2,7298.0
B09C6HWG18,Duracell,970,1999,51,4.2,462.0
B00NH11KIK,AmazonBasics,209,695,70,4.5,107687.0
B09JPC82QC,Mi,19999,34999,43,4.3,27151.0
